Original Message | Encrypted Message | RSA Factors | n | Classical Shor's Factors | r | a | Qiskit Shor's Factors
hello | [650, 344, 1899, 1899, 888] | (89,37) | 3293 | (89,37) | 396 | 22
Hello world | [2486, 2931, 2657, 2657, 572, 2096, 2956, 572, 2596, 2657, 2904] | (47,71) | 3337 | (47,71) | 1610 | 28
The | [12, 282, 157] | (19,31) | 589 | (19,31) | 90 | 54 | (19,31)
the mean | [116, 278, 156, 524, 295, 156, 566, 538] | (23,29) | 667 | (23,29) | 154 | 71 | (23,29)
trhe | [20, 21, 65, 11] | (3,37) | 111 | (3,37) | 36 | 89 | (3,37)
trhe | [109, 114, 118, 66] | (7,19) | 133 | (7,19) | 18 | 79 | (7,19)
the quick brown fox | [29, 26, 261, 32, 148, 222, 359, 22, 127, 32, 406, 196, 397, 223, 440, 32, 159, 397, 208] | (41,11) | 451 | (11,41) | 20 | 39 | (11,41)
sjsfjf | [46, 149, 46, 176, 149, 176] | (23,13) | 299 | (23,13) | 66 | 95 | (13,23)
wdawd | [137, 133, 115, 137, 133] | (11,13) | 143 | (11,13) | 4 | 34 | (11,13)
them | [90, 185, 50, 142] | (11,17) | 187 | (11,17) | 80 | 20 | (11,17)
themmm | [51, 92, 195, 10, 10, 10] | (11,19) | 209 | (19,11) | 90 | 17 | (11,19)
anjdouiadw | [224, 121, 226, 12, 199, 105, 239, 224, 12, 169] | (23,11) | 253 | (11,23) | 22 | 89 | (11,23)
iuhiuhdauid | [53, 78, 156, 53, 78, 156, 35, 71, 78, 53, 35] | (13,19) | 247 | (13,19) | 6 | 27 | (13,19)
ajndjns | [42, 40, 165, 232, 40, 165, 115] | (11,23) | 253 | (11,23) | 2 | 45 | (11,23)
miawoida | [296, 184, 114, 246, 45, 184, 265, 114] | (29,11) | 319 | (11,29) | 140 | 8 | (11,29)
the quick man jumps | [261, 128, 288, 416, 309, 59, 79, 278, 248, 416, 352, 177, 372, 416, 200, 59, 352, 413, 463] | (17,29) | 493 | (29,17) | 112 | 22 | (17,29)
thuahudaiuw | [70, 301, 357, 336, 301, 357, 256, 336, 269, 357, 351] | (19,23) | 437 | (19,23) | 198 | 42 | (19,23)
jdisjfodjsfio | [6, 133, 118, 124, 6, 20, 89, 133, 6, 124, 20, 118, 89] | (13,11) | 143 | (11,13) | 30 | 49 | (11,13)
ttt | [812, 812, 812] | (37,29) | 1073 | (29,37) | 252 | 13 | (29,37)
